dot(x=66666, y=66666, z=66666; 66666, 66666; 66666, 66666; z=66666; sp=66666; 66666.000; 66666.000; z=66666)
start(x=14403, y=148285, z=2506; 1.000)
line3D(x=289403, y=148285, z=2506; sp=500; 1)
line3D(x=292416, y=148467, z=2506; sp=500; 1)
line3D(x=295386, y=149011, z=2506; sp=500; 1)
line3D(x=298268, y=149910, z=2506; sp=500; 1)
line3D(x=301021, y=151149, z=2506; sp=500; 1)
line3D(x=303605, y=152710, z=2506; sp=500; 1)
line3D(x=305981, y=154572, z=2506; sp=500; 1)
line3D(x=308116, y=156707, z=2506; sp=500; 1)
line3D(x=309978, y=159083, z=2506; sp=500; 1)
line3D(x=311539, y=161667, z=2506; sp=500; 1)
line3D(x=312778, y=164420, z=2506; sp=500; 1)
line3D(x=313677, y=167302, z=2506; sp=500; 1)
line3D(x=314221, y=170272, z=2506; sp=500; 1)
line3D(x=314403, y=173285, z=2506; sp=500; 1)
line3D(x=314403, y=423285, z=2506; sp=500; 1)
line3D(x=314221, y=426298, z=2506; sp=500; 1)
line3D(x=313677, y=429268, z=2506; sp=500; 1)
line3D(x=312778, y=432150, z=2506; sp=500; 1)
line3D(x=311539, y=434903, z=2506; sp=500; 1)
line3D(x=309978, y=437487, z=2506; sp=500; 1)
line3D(x=308116, y=439863, z=2506; sp=500; 1)
line3D(x=305981, y=441998, z=2506; sp=500; 1)
line3D(x=303605, y=443860, z=2506; sp=500; 1)
line3D(x=301021, y=445421, z=2506; sp=500; 1)
line3D(x=298268, y=446660, z=2506; sp=500; 1)
line3D(x=295386, y=447559, z=2506; sp=500; 1)
line3D(x=292416, y=448103, z=2506; sp=500; 1)
line3D(x=289403, y=448285, z=2506; sp=500; 1)
line3D(x=39403, y=448285, z=2506; sp=500; 1)
line3D(x=36390, y=448103, z=2506; sp=500; 1)
line3D(x=33420, y=447559, z=2506; sp=500; 1)
line3D(x=30538, y=446660, z=2506; sp=500; 1)
line3D(x=27785, y=445421, z=2506; sp=500; 1)
line3D(x=25201, y=443860, z=2506; sp=500; 1)
line3D(x=22825, y=441998, z=2506; sp=500; 1)
line3D(x=20690, y=439863, z=2506; sp=500; 1)
line3D(x=18828, y=437487, z=2506; sp=500; 1)
line3D(x=17267, y=434903, z=2506; sp=500; 1)
line3D(x=16028, y=432150, z=2506; sp=500; 1)
line3D(x=15129, y=429268, z=2506; sp=500; 1)
line3D(x=14585, y=426298, z=2506; sp=500; 1)
line3D(x=14403, y=423285, z=2506; sp=500; 1)
line3D(x=14403, y=173285, z=2506; sp=500; 1)
line3D(x=14585, y=170272, z=2506; sp=500; 1)
line3D(x=15129, y=167302, z=2506; sp=500; 1)
line3D(x=16028, y=164420, z=2506; sp=500; 1)
line3D(x=17267, y=161667, z=2506; sp=500; 1)
line3D(x=18828, y=159083, z=2506; sp=500; 1)
line3D(x=20690, y=156707, z=2506; sp=500; 1)
line3D(x=22825, y=154572, z=2506; sp=500; 1)
line3D(x=25201, y=152710, z=2506; sp=500; 1)
line3D(x=27785, y=151149, z=2506; sp=500; 1)
line3D(x=30538, y=149910, z=2506; sp=500; 1)
line3D(x=33420, y=149011, z=2506; sp=500; 1)
line3D(x=36390, y=148467, z=2506; sp=500; 1)
line3D(x=39403, y=148285, z=2506; sp=500; 1)
end3d(x=199027, y=148285, z=2506; sp=500; 1; 1.000; z=0; sp=10; z=0)
